Date,Open,High,Low,Close,Volume
01/21/2020 21:13,316.38,316.38,316.29,316.29,1069
01/21/2020 21:14,316.29,316.29,316.29,316.29,893
01/21/2020 21:15,316.29,316.4,316.29,316.4,914
01/21/2020 21:16,316.4,316.4,316.29,316.4,571
01/21/2020 21:17,316.4,316.4,316.4,316.4,161
01/21/2020 21:18,316.3798,316.38,316.3798,316.38,654
01/21/2020 21:19,316.38,316.38,316.38,316.38,34
01/21/2020 21:20,316.38,316.4,316.37,316.37,2087
01/21/2020 21:21,316.37,316.4,316.37,316.4,679
01/21/2020 21:22,316.38,316.38,316.38,316.38,132
01/21/2020 21:23,316.38,316.38,316.32,316.32,500
01/21/2020 21:24,316.32,316.5,316.32,316.5,1879
01/21/2020 21:25,316.5,316.5,316.5,316.5,119
01/21/2020 21:26,316.5,316.57,316.5,316.57,15
01/21/2020 21:27,316.57,316.6,316.5,316.57,1328
01/21/2020 21:28,316.57,316.6,316.57,316.6,751
01/21/2020 21:29,316.6,316.6,316.52,316.57,392
01/21/2020 21:30,316.57,316.6,316.57,316.6,552
01/21/2020 21:31,316.6,316.6,316.59,316.6,534
01/21/2020 21:32,316.6,316.6,316.6,316.6,231
01/21/2020 21:33,316.6,316.63,316.55,316.55,1727
01/21/2020 21:34,316.55,316.6,316.55,316.6,835
01/21/2020 21:35,316.65,316.7,316.65,316.7,887
01/21/2020 21:36,316.7,316.7,316.57,316.57,48418
01/21/2020 21:37,316.57,316.57,316.57,316.57,2900
01/21/2020 21:38,316.57,316.7,316.57,316.7,387
01/21/2020 21:39,316.7,316.7,316.7,316.7,190
01/21/2020 21:40,316.57,316.74,316.57,316.68,5307
01/21/2020 21:41,316.68,316.68,316.68,316.68,660
01/21/2020 21:42,316.68,316.68,316.65,316.68,998
01/21/2020 21:43,316.68,316.68,316.68,316.68,1430
01/21/2020 21:44,316.71,316.74,316.71,316.74,396
01/21/2020 21:45,316.74,316.74,316.74,316.74,54
01/21/2020 21:46,316.74,316.74,316.74,316.74,15
01/21/2020 21:47,316.74,316.74,316.74,316.74,289500
01/21/2020 21:48,316.74,316.74,316.61,316.61,213
01/21/2020 21:49,316.61,316.64,316.61,316.64,327
01/21/2020 21:50,316.64,316.71,316.64,316.71,424
01/21/2020 21:51,316.71,316.71,316.68,316.68,317
01/21/2020 21:52,316.68,316.7,316.68,316.7,257
01/21/2020 21:53,316.7,316.7,316.68,316.68,274
01/21/2020 21:54,316.68,316.68,316.68,316.68,263
01/21/2020 21:55,316.68,316.68,316.6,316.61,510
01/21/2020 21:56,316.61,316.7,316.61,316.7,439
01/21/2020 21:57,316.7,316.7,316.7,316.7,82
01/21/2020 21:58,316.7,316.7,316.6,316.6,930
01/21/2020 21:59,316.6,316.6,316.6,316.6,160
01/21/2020 22:01,316.5701,316.62,316.5701,316.62,115
01/21/2020 22:02,316.62,316.62,316.62,316.62,60
01/21/2020 22:03,316.62,316.62,316.6,316.6,255
01/21/2020 22:04,316.6,316.6,316.6,316.6,11
01/21/2020 22:05,316.6,316.65,316.6,316.65,277
01/21/2020 22:06,316.65,316.65,316.65,316.65,181
01/21/2020 22:07,316.65,316.65,316.6,316.6,152
01/21/2020 22:08,316.6,316.68,316.6,316.67,1233
01/21/2020 22:09,316.67,316.67,316.58,316.58,1645
